Source Target Weight
箕部启治 黑崎骏一 5
箕部启治 内藤宽 3
谷川幸代 帝国航空 11
谷川幸代 半泽 26
谷川幸代 纪本平八 1
神谷岩夫 帝国航空 10
神谷岩夫 半泽 12
伊势岛酒店 纪本平八 1
伊势岛酒店 半泽 3
伊势岛酒店 黑崎骏一 2
